============================================================
Method | Transfer Path              | Mean ± Std Dev      
============================================================
BASELINE | MNIST -> SVHN            | 7.87% ± 1.90% (n=4)
BASELINE | MNIST -> USPS            | 70.00% ± 2.33% (n=4)
BASELINE | SVHN -> MNIST            | 54.76% ± 1.58% (n=3)
BASELINE | SVHN -> USPS             | 62.11% ± 0.34% (n=3)
BASELINE | USPS -> MNIST            | 47.43% ± 6.59% (n=4)
BASELINE | USPS -> SVHN             | 10.13% ± 1.28% (n=4)
CORAL | MNIST -> SVHN               | 13.79% ± 1.24% (n=4)
CORAL | MNIST -> USPS               | 65.86% ± 2.91% (n=4)
CORAL | SVHN -> MNIST               | 57.01% ± 1.39% (n=3)
CORAL | SVHN -> USPS                | 62.55% ± 1.39% (n=3)
CORAL | USPS -> MNIST               | 50.84% ± 2.62% (n=4)
CORAL | USPS -> SVHN                | 10.79% ± 1.52% (n=4)
DANN | MNIST -> SVHN                | 16.05% ± 4.17% (n=4)
DANN | MNIST -> USPS                | 67.92% ± 8.82% (n=4)
DANN | SVHN -> MNIST                | 22.32% ± 7.84% (n=3)
DANN | SVHN -> USPS                 | 28.68% ± 11.21% (n=3)
DANN | USPS -> MNIST                | 44.53% ± 10.31% (n=4)
DANN | USPS -> SVHN                 | 15.45% ± 2.54% (n=4)
FINE_TUNING | MNIST -> SVHN         | 89.13% ± 0.42% (n=3)
FINE_TUNING | MNIST -> USPS         | 96.88% ± 0.19% (n=3)
FINE_TUNING | SVHN -> MNIST         | 99.06% ± 0.04% (n=3)
FINE_TUNING | SVHN -> USPS          | 96.81% ± 0.20% (n=3)
FINE_TUNING | USPS -> MNIST         | 99.10% ± 0.00% (n=3)
FINE_TUNING | USPS -> SVHN          | 90.41% ± 0.21% (n=3)
IRM | MNIST -> SVHN                 | 9.30% ± 1.47% (n=4)
IRM | MNIST -> USPS                 | 72.09% ± 4.00% (n=4)
IRM | SVHN -> MNIST                 | 36.02% ± 7.53% (n=3)
IRM | SVHN -> USPS                  | 38.30% ± 6.86% (n=3)
IRM | USPS -> MNIST                 | 40.55% ± 5.67% (n=4)
IRM | USPS -> SVHN                  | 13.68% ± 1.71% (n=4)
MC_DROPOUT | MNIST -> SVHN          | 19.20% ± 0.88% (n=4)
MC_DROPOUT | MNIST -> USPS          | 81.97% ± 1.05% (n=4)
MC_DROPOUT | SVHN -> MNIST          | 29.77% ± 2.35% (n=3)
MC_DROPOUT | SVHN -> USPS           | 36.42% ± 3.37% (n=3)
MC_DROPOUT | USPS -> MNIST          | 44.92% ± 2.47% (n=4)
MC_DROPOUT | USPS -> SVHN           | 14.23% ± 0.27% (n=4)
TARGET_SUPERVISED | MNIST -> SVHN   | 82.68% ± 0.57% (n=3)
TARGET_SUPERVISED | MNIST -> USPS   | 90.75% ± 1.42% (n=3)
TARGET_SUPERVISED | SVHN -> MNIST   | 98.03% ± 0.19% (n=3)
TARGET_SUPERVISED | SVHN -> USPS    | 95.45% ± 0.38% (n=3)
TARGET_SUPERVISED | USPS -> MNIST   | 98.49% ± 0.10% (n=3)
TARGET_SUPERVISED | USPS -> SVHN    | 84.33% ± 0.16% (n=3)
